,Smiles,MW,LogP,HBA,HBD,PSA,Fsp3,SA,MCE18,NP_Score,Lipinski_Pass,Pfizer_pass,Fsp3_pass,MCE_pass,SA_pass,NP_pass,Final_pass,PAINS,BMS,CHE
58,CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C)C(=O)O)[C@](C)(O)[C@H]1[C@H](OC(C)=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,687.8710000000001,4.805100000000004,10,5,179.68999999999997,0.7368421052631579,5.9283755057887575,52,2.243300254434445,True,True,True,True,True,True,True,True,True,True
81,CCC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(C)=O)NCC(=O)O,673.8440000000003,4.416600000000003,10,5,179.69,0.7297297297297297,5.849579107254768,52,2.304881149335037,True,True,True,True,True,True,True,True,True,True
82,CCC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(=O)CC)NCC(=O)O,687.8710000000002,4.806700000000004,10,5,179.69,0.7368421052631579,5.889297477160143,52,2.1387384674987304,True,True,True,True,True,True,True,True,True,True
84,CCC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(C)=O)N[C@H](C)C(=O)O,687.8710000000003,4.805100000000003,10,5,179.69,0.7368421052631579,5.921113847134912,52,2.2608754719656696,True,True,True,True,True,True,True,True,True,True
216,CC(=O)OC(C)(C)/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,615.7640000000001,3.6639000000000026,9,5,170.45999999999998,0.7058823529411765,5.625119128259722,50,2.654339607522654,True,True,True,True,True,True,True,True,True,True
217,CCC(=O)OC(C)(C)/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,629.791,4.054000000000002,9,5,170.45999999999998,0.7142857142857143,5.665552612260543,50,2.485431311951084,True,True,True,True,True,True,True,True,True,True
218,CC(C)(/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C)OC(=O)c1ccccc1,677.8350000000003,4.957800000000004,9,5,170.45999999999998,0.5897435897435898,5.510622467001148,61,2.189488362544843,True,True,True,True,True,True,True,True,True,True
219,CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](C)C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,629.791,4.052400000000002,9,5,170.45999999999998,0.7142857142857143,5.700170194378129,50,2.601417797510796,True,True,True,True,True,True,True,True,True,True
220,CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](C)C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,643.818,4.4425000000000034,9,5,170.45999999999998,0.7222222222222222,5.741043222654827,50,2.434630695565974,True,True,True,True,True,True,True,True,True,True
231,CC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)C(C)C)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,657.845,4.688500000000004,9,5,170.45999999999998,0.7297297297297297,5.707217740966647,50,2.464176800797216,True,True,True,True,True,True,True,True,True,True
