Smiles,MW,LogP,HBA,HBD,PSA,Fsp3,SA,MCE18,NP_Score,Lipinski_Pass,Pfizer_pass,Fsp3_pass,MCE_pass,SA_pass,NP_pass,Final_pass,PAINS,BMS,CHE
CSCC[C@H](N[C@H](/C=C/C(C)(C)OC(C)=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,691.9280000000001,4.577400000000003,10,6,173.61999999999998,0.7567567567567568,5.87642810365108,50,2.140051584427444,False,True,True,True,True,True,False,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](CCSC)C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,705.9550000000002,4.967500000000005,10,6,173.61999999999998,0.7631578947368421,5.916738883472121,50,1.995427395088149,False,True,True,True,True,True,False,True,True,True
CSCC[C@H](N[C@H](/C=C/C(C)(C)OC(=O)c1ccccc1)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,753.9990000000001,5.871300000000006,10,6,173.61999999999998,0.6428571428571429,5.786135289284093,61,1.7588011903059966,False,True,True,True,True,True,False,True,True,True
CC(=O)OC(C)(C)/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,615.7640000000002,3.6639000000000017,9,5,170.45999999999998,0.7058823529411765,5.771592171737983,50,2.3078292807569727,True,True,True,True,True,True,True,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,629.7910000000002,4.054000000000002,9,5,170.45999999999998,0.7142857142857143,5.808301764802915,50,2.1466212146690844,True,True,True,True,True,True,True,True,True,True
CC(C)(/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)OC(=O)c1ccccc1,677.8350000000003,4.957800000000004,9,5,170.45999999999998,0.5897435897435898,5.639205673108018,61,1.878336232387904,True,True,True,True,True,True,True,True,True,True
CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](C)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,629.7910000000002,4.052400000000002,9,5,170.45999999999998,0.7142857142857143,5.844139425147359,50,2.2626077002287963,True,True,True,True,True,True,True,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](C)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,643.8180000000001,4.4425000000000034,9,5,170.45999999999998,0.7222222222222222,5.881413222654826,50,2.103186035181409,True,True,True,True,True,True,True,True,True,True
C[C@H](N[C@H](/C=C/C(C)(C)OC(=O)c1ccccc1)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,691.8620000000002,5.346300000000006,9,5,170.45999999999998,0.6,5.719254589537821,61,1.8462266708799264,False,True,True,True,True,True,False,True,True,True
CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CO)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,645.7900000000002,3.0248000000000017,10,6,190.69,0.7142857142857143,5.868604376500981,52,2.274109361209116,False,True,True,True,True,True,False,True,True,True
